series,variable,pearson_correlation,p_value
Answerlink_Phone,UNRATE,-0.016510948074344223,0.9418639458972096
Answerlink_Phone,HSN1F,-0.07267719030554057,0.7478971716968942
Answerlink_Phone,FEDFUNDS,-0.3187250792278065,0.14825832997345134
Answerlink_Phone,MORTGAGE30US,0.20493458931555636,0.3602531483104147
Answerlink_Phone,special_event,0.8773291351277849,8.316097629285017e-08
Answerlink_Phone,CallsOffered_lag1,0.3835222855289295,0.07807474113081685
Answerlink_Phone,CallsOffered_lag3,-0.02681072697031133,0.9057239675520348
Answerlink_Phone,CallsOffered_lag6,-0.0613840195578557,0.7861095683270183
Answerlink_Phone,CallsOffered_lag12,-0.5029042707258617,0.01705138473065949
Answerlink_Phone,UNRATE_lag1,0.15336691014658138,0.4956101552187452
Answerlink_Phone,UNRATE_lag3,0.17925902176996095,0.4247442877076645
Answerlink_Phone,UNRATE_lag6,0.3314264846613483,0.13187529780760976
Answerlink_Phone,UNRATE_lag12,0.053012034200001334,0.8147531176594571
Answerlink_Phone,HSN1F_lag1,-0.08345032027225666,0.7119682454726293
Answerlink_Phone,HSN1F_lag3,0.17573526323143193,0.4340533999774022
Answerlink_Phone,HSN1F_lag6,0.065195836131501,0.7731536502791219
Answerlink_Phone,HSN1F_lag12,-0.13831606825301637,0.5393127674440289
Answerlink_Phone,FEDFUNDS_lag1,-0.27799958709792155,0.21031771522361875
Answerlink_Phone,FEDFUNDS_lag3,-0.05103614000866995,0.8215482508301833
Answerlink_Phone,FEDFUNDS_lag6,0.13006096688343935,0.5640136436090408
Answerlink_Phone,FEDFUNDS_lag12,0.2757565898318966,0.2141734447685998
Answerlink_Phone,MORTGAGE30US_lag1,0.08580150373664627,0.7042018257288201
Answerlink_Phone,MORTGAGE30US_lag3,-0.6298175877971314,0.0016826944840711265
Answerlink_Phone,MORTGAGE30US_lag6,0.028794639637306895,0.8987812834666256
Answerlink_Phone,MORTGAGE30US_lag12,0.06249975806103164,0.7823114794048478
Answerlink_Chat,UNRATE,0.46068153875804135,0.030953537095280356
Answerlink_Chat,HSN1F,0.08566862933308152,0.7046399863095982
Answerlink_Chat,FEDFUNDS,-0.541670596426215,0.009220593444272132
Answerlink_Chat,MORTGAGE30US,0.09958232187507181,0.6592732665581464
Answerlink_Chat,CallsOffered_lag1,0.16462546052731072,0.46410322587190844
Answerlink_Chat,CallsOffered_lag3,-0.08087082492717038,0.7205206293346894
Answerlink_Chat,CallsOffered_lag6,0.10732667915392465,0.6345025498855321
Answerlink_Chat,CallsOffered_lag12,0.6634275834305008,0.000763118936565544
Answerlink_Chat,UNRATE_lag1,0.6055732601097267,0.002820671540931536
Answerlink_Chat,UNRATE_lag3,0.45211270531438696,0.03464417393141186
Answerlink_Chat,UNRATE_lag6,0.6597189591314767,0.000836602480601399
Answerlink_Chat,UNRATE_lag12,0.3427169669357994,0.11843584546135161
Answerlink_Chat,HSN1F_lag1,0.13046863028599276,0.5627821403432819
Answerlink_Chat,HSN1F_lag3,0.3675342817438201,0.09242372583759119
Answerlink_Chat,HSN1F_lag6,0.045568147530432604,0.8404158755920748
Answerlink_Chat,HSN1F_lag12,0.1440897085449139,0.5223400328693579
Answerlink_Chat,FEDFUNDS_lag1,-0.5105641668183873,0.015183170450098865
Answerlink_Chat,FEDFUNDS_lag3,-0.3489416718514875,0.11146486651738056
Answerlink_Chat,FEDFUNDS_lag6,-0.14357558416073268,0.52384105515761
Answerlink_Chat,FEDFUNDS_lag12,0.6704286937118242,0.0006393451501770486
Answerlink_Chat,MORTGAGE30US_lag1,0.11202261860556596,0.619662173864401
Answerlink_Chat,MORTGAGE30US_lag3,-0.8680969567278608,1.650903300401715e-07
Answerlink_Chat,MORTGAGE30US_lag6,-0.1362137106418349,0.545555664115924
Answerlink_Chat,MORTGAGE30US_lag12,0.2346715284845457,0.29315451431434536
