Date,Channel,Model,Forecast
2025-11-01,Phone,WBL,5603
2025-12-01,Phone,WBL,5228
2026-01-01,Phone,WBL,5183
2026-02-01,Phone,WBL,5445
2026-03-01,Phone,WBL,5876
2026-04-01,Phone,WBL,5545
2026-05-01,Phone,WBL,5914
2026-06-01,Phone,WBL,5319
2026-07-01,Phone,WBL,6333
2026-08-01,Phone,WBL,5344
2026-09-01,Phone,WBL,4866
2026-10-01,Phone,WBL,5031
2025-11-01,Chat,XGBoost,0
2025-12-01,Chat,XGBoost,0
2026-01-01,Chat,XGBoost,0
2026-02-01,Chat,XGBoost,0
2026-03-01,Chat,XGBoost,0
2026-04-01,Chat,XGBoost,0
2026-05-01,Chat,XGBoost,0
2026-06-01,Chat,XGBoost,0
2026-07-01,Chat,XGBoost,0
2026-08-01,Chat,XGBoost,0
2026-09-01,Chat,XGBoost,0
2026-10-01,Chat,XGBoost,0
